lemma,pos,bci_av_id
24 stunden,VERB,23054
aal,VERB,13909
aale,VERB,13909
aalen,VERB,13909
aales,VERB,13909
aals,VERB,13909
ab,NOUN,25522
abbestellung,VERB,24883
abbiegen,VERB,25627
abbiegens,VERB,25627
abbiegung,VERB,25627
abbiegungen,VERB,25627
abblase,VERB,25044
abblasen,PRON,25044
abblasend,VERB,25044
abblasende,VERB,25044
abblasendem,VERB,25044
abblasenden,VERB,25044
abblasender,VERB,25044
abblasendes,VERB,25044
abblast,VERB,25044
abdruck,VERB,25327
abdruck-,VERB,25327
abdruck0,VERB,25327
abend,VERB,13950
abend vor allerheiligen,VERB,26007
abend vor schabbat,VERB,14113
abend-,VERB,13950
abend0,VERB,13950
abendbrot,VERB,17468
abendessen,VERB,17468
abendmahlskelch,VERB,21364
abenteuer,VERB,24601
abenteuer-,VERB,24601
abenteuer0,VERB,24601
abenteuerlich,ADJ,25007
abenteuerliche,VERB,25007
abenteuerlichem,VERB,25007
abenteuerlichen,VERB,25007
abenteuerlicher,VERB,25007
abenteuerlichere,VERB,25007
abenteuerlicherem,VERB,25007
abenteuerlicheren,VERB,25007
abenteuerlicherer,VERB,25007
abenteuerlicheres,VERB,25007
abenteuerliches,VERB,25007
abenteuerlichst,VERB,25007
abenteuerlichste,VERB,25007
abenteuerlichstem,VERB,25007
abenteuerlichsten,VERB,25007
abenteuerlichster,VERB,25007
abenteuerlichstes,VERB,25007
aber,NOUN,13094
abfahrtsski,VERB,21864
abfall,VERB,18043
abfall-,VERB,18043
abfall0,VERB,18043
abfalleimer,VERB,14421
abfeuere,VERB,23662
abfeuern,PRON,23662
abfeuernd,VERB,23662
abfeuernde,VERB,23662
abfeuerndem,VERB,23662
abfeuernden,VERB,23662
abfeuernder,VERB,23662
abfeuerndes,VERB,23662
abfeuerst,VERB,23662
abfeuert,VERB,23662
abfeuerte,VERB,23662
abfeuerten,VERB,23662
abfeuertest,VERB,23662
abfeuertet,VERB,23662
abfeure,VERB,23662
abflug,VERB,25187
abflug-,VERB,25187
abflug0,VERB,25187
abgabe,VERB,23230
abgabe-,VERB,23230
abgabe0,VERB,23230
abgelegenheit,VERB,24896
abgenutzt,ADJ,25221
abgenutzte,VERB,25221
abgenutztem,VERB,25221
abgenutzten,VERB,25221
abgenutzter,VERB,25221
abgenutztes,VERB,25221
abgerissen,ADJ,24968
abgerissene,VERB,24968
abgerissenem,VERB,24968
abgerissenen,VERB,24968
abgerissener,VERB,24968
