lemma,pos,bci_av_id
a bordo,ADJ,23401
a ella,PREP,16949
a ellas,PREP,17714
a ellos,NOUN,17712
a fin de,NOUN,14382
a la distancia,NOUN,12602
a las escondidas,VERB,25078
a menos que,NOUN,17981
a menudo,ADJ,15913
a mí,PREP,14916
a nosotras,PREP,18210
a nosotros,PREP,18211
a quién,NOUN,18244
a qué hora,NOUN,18235
a rayas,ADJ,24293
a través de,NOUN,12333
a veces,ADJ,17208
abajo,NOUN,13869
abanicazo/s,VERB,14149
abanico,VERB,14149
abanicos,VERB,14149
abeja,VERB,12651
abejas,VERB,12651
abertura,VERB,15923
aberturas,VERB,15923
abeto,VERB,14116
abetos,VERB,14116
abierta,VERB,15921
abiertas,VERB,15921
abierto,ADJ,15921
abiertos,VERB,15921
abogada,VERB,23135
abogadas,VERB,23135
abogado,PREP,23135
abogados,VERB,23135
abollado,ADJ,24421
abono,VERB,24185
aborda,VERB,23487
abordaba,VERB,23487
abordabais,VERB,23487
abordaban,VERB,23487
abordabas,VERB,23487
abordad,VERB,23487
abordada,VERB,23487
abordadas,VERB,23487
abordado,VERB,23487
abordados,VERB,23487
abordamos,VERB,23487
abordan,VERB,23487
abordando,VERB,23487
abordar,PRON,23487
abordara,VERB,23487
abordarais,VERB,23487
abordaran,VERB,23487
abordaras,VERB,23487
abordare,VERB,23487
abordareis,VERB,23487
abordaremos,VERB,23487
abordaren,VERB,23487
abordares,VERB,23487
abordarla,VERB,23487
abordarlas,VERB,23487
abordarle,VERB,23487
abordarles,VERB,23487
abordarlo,VERB,23487
abordarlos,VERB,23487
abordarme,VERB,23487
abordarnos,VERB,23487
abordaron,VERB,23487
abordaros,VERB,23487
abordarse,VERB,23487
abordarte,VERB,23487
abordará,VERB,23487
abordarán,VERB,23487
abordarás,VERB,23487
abordaré,VERB,23487
abordaréis,VERB,23487
abordaría,VERB,23487
abordaríais,VERB,23487
abordaríamos,VERB,23487
abordarían,VERB,23487
abordarías,VERB,23487
abordas,VERB,23487
abordase,VERB,23487
abordaseis,VERB,23487
abordasen,VERB,23487
abordases,VERB,23487
abordaste,VERB,23487
abordasteis,VERB,23487
aborde,VERB,23487
abordemos,VERB,23487
aborden,VERB,23487
abordes,VERB,23487
abordo,VERB,23487
abordábamos,VERB,23487
abordáis,VERB,23487
abordándola,VERB,23487
abordándolas,VERB,23487
abordándolo,VERB,23487
abordándolos,VERB,23487
abordándose,VERB,23487
abordáramos,VERB,23487
abordáremos,VERB,23487
abordásemos,VERB,23487
abordé,VERB,23487
abordéis,VERB,23487
abordó,VERB,23487
aborto,VERB,12323
aborto involuntario,VERB,15477
abortos,VERB,12323
abra,VERB,15922
abrace,VERB,14909
abracemos,VERB,14909
abracen,VERB,14909
abraces,VERB,14909
abracé,VERB,14909
abracéis,VERB,14909
abraham,PREP,21066
abramos,VERB,15922
abran,VERB,15922
abras,VERB,15922
abraza,VERB,14909
abrazaba,VERB,14909
abrazabais,VERB,14909
abrazaban,VERB,14909
abrazabas,VERB,14909
abrazad,VERB,14909
abrazada,VERB,14909
abrazadas,VERB,14909
abrazadla,VERB,14909
abrazadlas,VERB,14909
abrazadlo,VERB,14909
abrazadlos,VERB,14909
abrazadme,VERB,14909
abrazadnos,VERB,14909
abrazado,VERB,14909
abrazados,VERB,14909
abrazamos,VERB,14909
abrazan,VERB,14909
abrazando,VERB,14909
abrazar,PRON,14909
abrazara,VERB,14909
abrazarais,VERB,14909
abrazaran,VERB,14909
abrazaras,VERB,14909
abrazare,VERB,14909
abrazareis,VERB,14909
abrazaremos,VERB,14909
abrazaren,VERB,14909
abrazares,VERB,14909
abrazarla,VERB,14909
abrazarlas,VERB,14909
abrazarle,VERB,14909
abrazarles,VERB,14909
abrazarlo,VERB,14909
abrazarlos,VERB,14909
abrazarme,VERB,14909
abrazarnos,VERB,14909
abrazaron,VERB,14909
abrazaros,VERB,14909
abrazarse,VERB,14909
abrazarte,VERB,14909
abrazará,VERB,14909
abrazarán,VERB,14909
abrazarás,VERB,14909
abrazaré,VERB,14909
abrazaréis,VERB,14909
abrazaría,VERB,14909
abrazaríais,VERB,14909
abrazaríamos,VERB,14909
abrazarían,VERB,14909
abrazarías,VERB,14909
abrazas,VERB,14909
abrazase,VERB,14909
abrazaseis,VERB,14909
abrazasen,VERB,14909
abrazases,VERB,14909
abrazaste,VERB,14909
abrazasteis,VERB,14909
abrazo,VERB,24848
abrazábamos,VERB,14909
abrazáis,VERB,14909
abrazándola,VERB,14909
abrazándolas,VERB,14909
abrazándole,VERB,14909
abrazándoles,VERB,14909
abrazándolo,VERB,14909
abrazándolos,VERB,14909
abrazándome,VERB,14909
abrazándonos,VERB,14909
abrazándoos,VERB,14909
abrazándose,VERB,14909
abrazándote,VERB,14909
abrazáramos,VERB,14909
abrazáremos,VERB,14909
abrazásemos,VERB,14909
abrazó,VERB,14909
abre,VERB,15922
abrelatas,VERB,22396
abren,VERB,15922
abres,VERB,15922
abrid,VERB,15922
abridor,VERB,22394
abridor de botellas,VERB,22395
abridora,VERB,22394
abridoras,VERB,22394
abridores,VERB,22394
abriendo,VERB,15922
abriera,VERB,15922
abrierais,VERB,15922
abrieran,VERB,15922
abrieras,VERB,15922
abriere,VERB,15922
abriereis,VERB,15922
abrieren,VERB,15922
abrieres,VERB,15922
abrieron,VERB,15922
abriese,VERB,15922
abrieseis,VERB,15922
abriesen,VERB,15922
abrieses,VERB,15922
abrigo,VERB,24685
abrigo chaqueta,VERB,13371
abrigo de piel  pelo,VERB,14415
abrigos,VERB,24685
abril,VERB,12410
abriles,VERB,12410
abrimos,VERB,15922
