lemma,pos,bci_av_id
24 h,VERB,23054
3 branches de dattier,VERB,15404
abeille,VERB,12651
abimé,ADJ,24421
aboyer,PRON,24020
abraham,PREP,21066
abri,VERB,16955
abri souterrain,VERB,17970
abricot,VERB,12409
abricot sec,VERB,24012
abrité,ADJ,24931
absorber,PRON,13940
abstention,VERB,21308
abstinence,VERB,12326
abstinence d'alcool,VERB,24306
abstinence sexuelle,VERB,24047
absurdité,VERB,15726
abus,VERB,12327
abus d'alcool,VERB,24406
abus d'enfant,VERB,13167
abus sexuel,VERB,16766
académicien,PREP,21559
accessoire,VERB,12328
accident,VERB,12329
accident d'avion,VERB,13437
accident de voiture,VERB,13438
accomplir,PRON,24401
accord,VERB,12354
accord verbal,VERB,24006
accord écrit,VERB,24007
accordéon,VERB,23802
accrocher,PRON,14673
accueil,OTHER,18223
accumulateur,VERB,12638
accusation,VERB,23001
accuser,PRON,23003
achat par correspondance,VERB,23208
acheter,PRON,13099
acheter à profusion,PRON,24758
achever,PRON,14181
acide,ADJ,16944
acier,VERB,17258
acné,VERB,12332
acrobate,PREP,24001
acrobatie,VERB,24002
actif,ADJ,12336
actinie,VERB,23653
action,VERB,12334
action de grâce,VERB,17534
action en faveur,VERB,23007
actionner l'interrupteur,PRON,17488
activité,VERB,12335
activité sexuelle,VERB,24257
actualité,VERB,13625
actuel,ADJ,13624
acupuncteur,PREP,21605
acéré,ADJ,16943
adam,PREP,21063
adar,VERB,12337
additif,VERB,24003
addition,VERB,12339
adepte,PREP,24083
admiration,VERB,16494
adolescence,VERB,12340
adolescent,PREP,17516
adorable,ADJ,15398
adresse de courriel,VERB,23486
adresse e-mail,VERB,23486
adresse postale,VERB,23402
adulte,PREP,12341
aegir,PREP,22821
affamé,ADJ,14912
affection,VERB,15399
affiche,VERB,12344
afflux,VERB,14201
affreux,ADJ,21289
afrique,VERB,22602
afrique du sud,VERB,22615
agacer,PRON,21361
agenda,VERB,24603
agenouiller-,PRON,15158
agir,PRON,13860
agir en faveur de,PRON,23005
agitation,VERB,24822
agiter,PRON,16934
agneau,VERB,15170
agnelet,VERB,24475
agnosticisme,VERB,24005
agrume,VERB,15933
agréable,ADJ,15717
aide,VERB,14704
aide financière,VERB,24113
aide technique,VERB,12355
aide technique médicale,VERB,12890
aide technique pour la sexualité,VERB,24258
aide technique pour marcher,VERB,24298
aide technique pour saisir,VERB,22567
aider,PRON,14705
aigle,VERB,14686
aigre,ADJ,16944
aiguille,VERB,15703
aiguille de seringue hypodermique,VERB,15704
aiguisé,ADJ,16943
ail,VERB,14423
aile,VERB,18259
aimable,ADJ,15149
aimer,PRON,15210
ainsi que,NOUN,12374
air,VERB,12356
aire de stationnement,VERB,24206
airelle,VERB,13433
ajouter,PRON,12338
alcoolisme,VERB,24405
algue,VERB,23658
aliment,VERB,14377
aliment farci,VERB,23503
aliment surgelé,VERB,14404
allah,PREP,21035
aller,PRON,12343
aller au pas,PRON,24327
aller au petit galop,PRON,24044
aller en avion,PRON,21834
aller en voiture,PRON,21833
aller à cheval,PRON,21835
aller à l'amble,PRON,24230
aller à pied,PRON,18031
aller à selles,PRON,15668
aller-,PRON,14449
allergie,VERB,24407
alligator,VERB,12362
allonger-,PRON,15205
allumer,PRON,24300
allumette,VERB,15430
allée,VERB,24328
alors,NOUN,12352
alpana,VERB,12365
alphabet,VERB,12366
alphabet runique,VERB,22830
alphabet signé,VERB,23506
alpinisme,VERB,22109
altimètre,VERB,23018
alto,VERB,23803
ambulance,VERB,12369
amen,OTHER,21312
amende,VERB,23082
amener,PRON,12904
amer,ADJ,12848
ami,PREP,14401
amnésie,VERB,24899
amour,VERB,15399
amour chrétien,VERB,21304
amoureux,ADJ,24815
amphibien,VERB,12371
amplificateur_,VERB,23804
amusant,ADJ,14414
amuse-gueule,VERB,22118
amusement,VERB,24824
amuser,PRON,12372
amuser-,PRON,13938
amélioration,VERB,24856
améliorer,PRON,14931
aménorrhée,VERB,12370
amérique du nord,VERB,22607
amérique du sud,VERB,22608
an dernier,VERB,15176
ananas,VERB,16182
anche,VERB,23942
ancien,ADJ,23910
ancien testament,VERB,21070
ancre,VERB,24604
ancêtre,PREP,21325
anecdote,VERB,17272
ange,PREP,12375
ange_,PREP,20570
anglais,VERB,23078
angle,VERB,12376
angle droit,VERB,16674
angleterre,VERB,22610
angoisser-,PRON,24943
anguille,VERB,13909
animal,VERB,12378
animal de compagnie,VERB,16168
animal en peluche,VERB,17764
animal familier,VERB,16168
anneau,VERB,16675
annexe,VERB,23409
annexer,PRON,14154
anniversaire,VERB,12392
anniversaire du décès,VERB,18286
annonce,VERB,16977
annonce publicitaire,VERB,12344
annuler,PRON,23700
année,VERB,18289
année passée,VERB,15176
année prochaine,VERB,15716
année-lumière,VERB,22634
antarctique,VERB,22603
antenne,VERB,24602
antenne parabolique_,VERB,24740
anthropologie,VERB,21548
anthropologue,PREP,24840
anticipation,VERB,14128
anticiper,PRON,14127
antipathie,VERB,13691
antivirus,VERB,23403
antécédent,ADJ,24218
antérieur à,NOUN,12656
anus,VERB,12396
anxieux,ADJ,12398
anxiété,VERB,12397
anémomètre,VERB,23019
anémone de mer,VERB,23653
août,VERB,12595
apparaître,PRON,21079
appareil,VERB,15406
appareil auditif,VERB,13895
appareil d'assistance respiratoire,VERB,24239
appareil ménager,VERB,22393
appareil photographique,VERB,13111
apparition,VERB,21078
appartement,VERB,12403
appartenance,OTHER,12663
appauvrir,PRON,21307
appeler,PRON,22904
appeler-,PRON,24874
apporter,PRON,12904
apprendre,PRON,15184
approche,VERB,12407
approcher-,PRON,13383
approuver,PRON,12408
apprécier,PRON,13948
appréhender,PRON,23025
après,NOUN,12348
après-midi,VERB,12349
aptitude,VERB,12322
apôtre,PREP,21059
aqueux,ADJ,18226
araignée,VERB,17229
arbre,VERB,17775
arbre à feuilles persistantes,VERB,14116
arbuste,VERB,13092
arc,VERB,23817
arc et flèche,VERB,21855
arc-en-ciel,VERB,23933
archet,VERB,23818
archet et corde,VERB,23819
archipel,VERB,23023
architecte,PREP,12412
architecte-paysagiste,PREP,23561
architecture de jardin,VERB,23560
architecture du paysage,VERB,23560
archéologie,VERB,21554
archéologue,PREP,21570
argent,VERB,15484
argent liquide,VERB,15484
argent perçu régulièrement,VERB,24489
argot,VERB,24961
arithmétique _,VERB,15432
arme à feu,VERB,14655
armistice,VERB,24424
armoire,VERB,13622
armure,VERB,21622
armée,VERB,24967
aromathérapeute,PREP,21603
arriser,PRON,24728
arriver,PRON,13383
arrondissement,VERB,16423
arroser,PRON,24330
arrêt,VERB,16198
arrêt de bus,VERB,13090
arrêter,PRON,17268
art,VERB,12581
art du papier,VERB,24204
art floral,VERB,24197
art textile,VERB,24308
articles de verrerie,VERB,14444
articulation,VERB,14973
artisanal,ADJ,15420
artisanat,VERB,13431
artisanat du bois,VERB,24339
arts martiaux,VERB,21838
arôme,VERB,14198
arôme de chocolat,VERB,13173
arôme de sirop d'érable,VERB,22334
ascenseur,VERB,13924
ascension,VERB,24013
asie,VERB,22604
aspect similaire,OTHER,16985
asperge,VERB,24015
aspirateur,VERB,22391
assaisonnement,VERB,14198
assaisonnement aux herbes,VERB,22322
assaisonnement d'herbes en poudre,VERB,22321
assassiner,PRON,15148
assemblée,VERB,14427
assemblée religieuse,VERB,21288
asseoir-,PRON,16995
assez,ADJ,13939
assiette,VERB,13690
assistant,PREP,14706
assistant en justice,PREP,23041
assistant social,PREP,17201
association,VERB,13380
associer,PRON,13381
assoiffé,ADJ,17719
assurance médicale,VERB,15447
assécher,PRON,24233
astrologie,VERB,22636
astrologue,PREP,22901
astronaute,PREP,12590
astronome,PREP,21560
astronomie,VERB,21542
atelier de réparation,VERB,24236
atelier protégé,VERB,23205
athlétisme,VERB,21628
athéisme,VERB,21301
atm,VERB,23405
atome,VERB,12592
attache,VERB,14155
attachement,VERB,23410
attacher,PRON,14154
attaché,ADJ,23408
attelage,VERB,20601
atteler,PRON,24144
atteler le cheval,PRON,24146
attelle,VERB,24279
attelle de cheville,VERB,24010
attelle de coude,VERB,24091
attelle de main,VERB,24142
attelle de poignet,VERB,24340
attendre,PRON,18030
attendre à-,PRON,14127
attente,VERB,24832
attentes,VERB,14128
attentif,ADJ,13123
attention,VERB,12594
atterrissage,VERB,15171
attirant,ADJ,12645
attraper,PRON,13131
attribution d'un nom,VERB,23155
au loin,NOUN,12602
au revoir,OTHER,14454
au sujet de,NOUN,12324
au-delà,ADJ,12670
au-dessus,NOUN,15948
aubergine,VERB,13913
aucun,NOUN,15706
aucune personne,PREP,15723
audiologiste,PREP,21593
audiologue,PREP,21593
auditorium,VERB,24481
augmenter,PRON,14936
aujourd'hui,VERB,17744
australie,VERB,22605
autel,VERB,21368
auteur,PREP,23716
automne,VERB,12598
automne_,VERB,12597
automutilant,ADJ,22916
automutilation,VERB,16753
autorisation,VERB,24650
autoriser,PRON,15196
autorisé,ADJ,24649
autour de,NOUN,12580
autre,PREP,15938
autruche,VERB,15937
autruche nord-américaine,VERB,16679
auxiliaire conditionnel,PRON,24264
auxiliaire de justice,PREP,23041
auxiliaire du futur,PRON,24261
av,VERB,12599
avalanche,VERB,24019
avaler,PRON,17471
avancer,PRON,12343
avant,NOUN,12656
avec,NOUN,12364
avent,VERB,24004
aventure,VERB,24601
aversion,VERB,13691
aveugle,ADJ,12856
avion,VERB,12357
avion militaire,VERB,15466
avion à réaction,VERB,14970
aviron,VERB,22051
avis,VERB,15925
avocat,VERB,12600
avocat de la défense,PREP,23136
avoine,VERB,24705
avoir,PRON,14685
avoir besoin,PRON,15702
avoir besoin de temps,NOUN,24664
avoir confiance,PRON,17784
avoir de l'effet sur,PRON,24466
avoir foi en,PRON,12661
avoir froid,PRON,23444
avoir l'air,PRON,16750
avoir peur,PRON,14159
avoir un impact sur,PRON,24466
avortement,VERB,12323
avouer,PRON,21099
avril,VERB,12410
axe,VERB,24605
aéroglisseur,VERB,22085
aéroport,VERB,12358
aïeul,PREP,21325
aïeule,PREP,21326
baby-sitter,PREP,12608
bac à sable,VERB,16717
bacon,VERB,12614
bactérie,VERB,24411
badge,VERB,12616
badminton,VERB,12617
bagage,VERB,12618
bagel,VERB,22125
baguette de tambour,VERB,23856
baguette magique,VERB,18034
baie,VERB,12666
baie de montagne,VERB,15664
baignoire,VERB,24809
bain,VERB,16992
bain de vapeur,VERB,17257
bain à vapeur,VERB,17257
