lemma,pos,bci_av_id
1200,VERB,23157
15 min,VERB,23185
24 godziny,VERB,23054
30 minut,VERB,23104
aborcja,VERB,12323
abraham,PREP,21066
abstynencja,VERB,21308
adam,PREP,21063
adar,VERB,12337
adres,VERB,23402
adres e-mailowy,VERB,23486
adwent,VERB,24004
adwokat,PREP,23014
afryka,VERB,22602
agir,PREP,22821
agnostycyzm,VERB,24005
akademik,PREP,21559
akcja,VERB,12334
akordeon,VERB,23802
akrobata,PREP,24001
akrobatyka,VERB,24002
akt,VERB,12335
aktualności,VERB,13625
aktualny,ADJ,13624
aktywność,VERB,12335
aktywność seksualna,VERB,24257
aktywny,ADJ,12336
aktywny udział,VERB,23919
aktówka,VERB,23420
alarmowy,ADJ,18046
albo,NOUN,13914
ale,NOUN,13094
alergia,VERB,24407
alfabet,VERB,12366
alfabet palcowy,VERB,23506
aligator,VERB,12362
alkoholizm,VERB,24405
alt,VERB,23803
altana,VERB,13102
altówka,VERB,23982
ambulatorium,VERB,24008
amen,OTHER,21312
ameryka południowa,VERB,22608
ameryka północna,VERB,22607
ampulla,VERB,21365
ananas,VERB,16182
aneks,VERB,23409
angielski,VERB,23077
anglia,VERB,22610
ani,NOUN,15729
animacja,VERB,23435
anioł,PREP,12375
ankieter,PREP,21374
anoreksja,VERB,24439
antarktyka,VERB,22603
antena,VERB,24602
antena satelitarna,VERB,24740
antropologia,VERB,21548
antykoncepcja,VERB,12844
antylopa południowoafrykańska,VERB,22616
antywirus,VERB,23403
aparat,VERB,13111
aparat słuchowy,VERB,13895
apartamentowiec,VERB,23022
apostoł,PREP,21059
aprobować,PRON,12353
apteka,VERB,23072
aptekarz,PREP,23611
archeolog,PREP,21570
archeologia,VERB,21554
archipelag,VERB,23023
architekt,PREP,12412
areał,VERB,23024
aresztować,PRON,23025
arkusz,VERB,23715
armata,VERB,13120
armia,VERB,12579
aromat,VERB,15997
aromat czekoladowy,VERB,13173
aromat syropu klonowego,VERB,22334
aromoterapeuta,PREP,21603
artykuł,VERB,14457
astrolog,PREP,22901
astrologia,VERB,22636
astronauta,PREP,12590
astronom,PREP,21560
astronomia,VERB,21542
asysta,VERB,14704
asystent,PREP,14706
asystować,PRON,14705
atak choroby,VERB,12593
ateizm,VERB,21301
atom,VERB,12592
atrakcja warta zobaczenia,VERB,16970
atrakcyjność,VERB,24053
atrakcyjny,ADJ,12645
audio cd,VERB,16470
audiolog,PREP,21593
aula,VERB,24481
australia,VERB,22605
auto,VERB,13121
autobus,VERB,13089
autor,PREP,23716
aw,VERB,12599
awaryjny,VERB,13930
awokado,VERB,12600
azja,VERB,22604
azyl,VERB,16955
aż do,NOUN,17982
babcia,PREP,14629
babcia ze strony matki,PREP,14630
babeczka,VERB,22122
backspace,PRON,23411
badacz,PREP,23652
badanie,VERB,23635
badanie lekarskie,VERB,24480
badać,PRON,24442
badminton,VERB,12617
bagaż,VERB,12618
bagażnik,VERB,24613
bagażnik dachowy,VERB,24613
bagno,VERB,17472
bajkowa,PREP,23577
bakteria,VERB,24411
bakłażan,VERB,13913
baldur,PREP,22817
balet,VERB,23414
balkon,VERB,12620
balon,VERB,12622
balon z koszem,VERB,22107
banan,VERB,12623
bandaż,VERB,12625
bandera,VERB,14193
bandy - odmiana hokeja,VERB,21042
baner,VERB,16977
bangladesz,VERB,24607
banjo,VERB,23808
bank,VERB,12626
banknot,VERB,23604
bankomat,VERB,23405
bankowiec,PREP,13359
bar,VERB,12627
bar micwa,VERB,21112
baran,VERB,22638
baranina,VERB,15170
barbeque,VERB,12874
bardzo,ADJ,15671
bardzo wiele,VERB,15675
bariera,VERB,12631
barka,VERB,22072
barometr,VERB,23028
barwić,PRON,15957
barwnik,VERB,15956
bas,VERB,23809
baseball,VERB,12632
basen,VERB,16219
basen pływacki,VERB,17483
basen z piłeczkami,VERB,23413
bat micwa,VERB,21111
bateria,VERB,12638
batonik,VERB,22371
bawełna,VERB,23048
bawialnia,VERB,15224
bawić,PRON,12372
bawić się,PRON,16200
baza,VERB,12633
baza domowa,VERB,14886
bazowy,ADJ,24122
bać się,PRON,14159
bałwan,VERB,17196
bańka,VERB,12916
beczeć,PRON,24026
beczkowóz,VERB,14186
bejsbol uliczny,VERB,21803
bekać,PRON,12925
bekon,VERB,12614
belgia,VERB,22609
benzyna,VERB,14412
beton,VERB,13397
bez emocji,PRON,23444
bez końca,ADJ,21331
bez smaku,ADJ,22353
bez światła,ADJ,13634
bezludny,ADJ,21356
bezpieczeństwo,VERB,16705
bezpieczny,ADJ,16704
bezrobocie,VERB,17975
bezustanny,ADJ,21331
bezwietrzna pogoda,VERB,23828
bezwietrznie,ADJ,23829
bezwstyd,VERB,14125
biały,NOUN,18242
biblia,VERB,21068
biblioteczka,VERB,15202
biblioteka,VERB,15201
bibliotekarz,PREP,23568
biec,PRON,16699
biedny,ADJ,16220
bieg,VERB,21839
bieg przez płotki,VERB,21840
bieg sztafetowy,VERB,21842
biegun południowy,VERB,22599
biegun północny,VERB,22600
biegunka,VERB,24085
bielizna,VERB,17974
bielizna pościelowa,VERB,16951
bierzmowanie,VERB,21104
bieżący,ADJ,13624
bilard,VERB,22099
bilet,VERB,17729
bilet parkingowy,VERB,23915
bindi,VERB,12836
bingo,VERB,23571
biochemia,VERB,21545
biochemik,PREP,21563
biodro,VERB,14713
biolog,PREP,21564
biologia,VERB,21546
biomasa,VERB,13370
biopaliwo,VERB,13370
biseksualizm,VERB,24024
biseksualny,ADJ,24023
biskup,PREP,21056
biurko,VERB,13663
biustonosz,VERB,12889
biznes,VERB,13093
bizon,VERB,12917
biżuteria,VERB,24826
blacha do piekarnika,VERB,22575
blat,VERB,12868
blat biurka,VERB,23673
blin,VERB,23949
blink it itp - urządzenie do kontrolowania komputera wzrokiem,VERB,23493
bliski,ADJ,14951
blisko,ADJ,15697
bliskość,VERB,14950
bliss,VERB,21624
blissymbolics,VERB,23031
bliźniak,VERB,23193
bliźniaki,PREP,23978
bliźnięta,VERB,22655
blok,VERB,12860
blok mieszkalny,VERB,23022
blot,VERB,22833
bluzka,VERB,16957
bo,NOUN,12647
boczek,VERB,12614
bogactwa i piękna,PREP,15169
bogaty,ADJ,16506
bogini małżeństwa,PREP,22651
bohater,VERB,23528
bohaterski,ADJ,23529
boisko,VERB,13428
bok,VERB,16974
boks,VERB,12887
bolesne,ADJ,15955
boleć,PRON,14913
bolący,ADJ,16973
bom,VERB,22060
bomba,VERB,24036
borówka,VERB,15664
borówka amerykańska,VERB,12866
boski,ADJ,21041
botanik,PREP,21565
botanika,VERB,21547
boże narodzenie,VERB,13181
bożonarodzeniowy pudding,VERB,22308
brahma,PREP,12892
brak,NOUN,15474
brak dźwięków,VERB,16981
brak miesiączki,VERB,12370
brak wątpliwości,ADJ,13146
bramka,VERB,21809
brat,PREP,12909
brat bliźniak,PREP,23976
brat freji,PREP,22818
bratanek,PREP,15707
