lemma,pos,bci_av_id
a dormir,ADJ,12589
a ela,PREP,14707
a elas,PREP,14707
a menos que,NOUN,17981
a noite passada,VERB,15174
a própria,PREP,16949
a seguir,ADJ,15714
a semana passada,VERB,15175
a si mesmos,PREP,17713
ab,VERB,12599
abdómen,VERB,17265
abelha,VERB,12651
abertura,VERB,12658
abeto,VERB,14116
aborrecido,ADJ,24827
aborto,VERB,12323
aborto espontâneo,VERB,15477
abraão,PREP,21066
abraçar,PRON,14909
abre-latas,VERB,22396
abrigo,VERB,16955
abril,VERB,12410
abrir,ADJ,15921
abstinência,VERB,12326
abuso de crianças,VERB,13167
abuso sexual,VERB,16766
abutre,VERB,18024
abóbora,VERB,17244
acalefa,VERB,23124
acampamento,VERB,13112
acariciar,PRON,17443
acerca,NOUN,12324
acessórios,VERB,12328
acidente,VERB,12329
acidente de automóvel,VERB,13438
acne,VERB,12332
aconselhar,PRON,12346
acontecer,PRON,14674
acontecimento,VERB,14114
acordar,ADJ,12601
acordeão,VERB,23802
acordo,VERB,12354
acrobata,PREP,24001
actividade,VERB,12335
activo,ADJ,12336
actual,ADJ,13624
actualidades,VERB,13625
actuar,PRON,23609
acupunctureólogo,PREP,21605
acção,VERB,12334
adar,VERB,12337
adeus,OTHER,14454
adicionar,PRON,12338
adivinhar,PRON,14651
adolescente,PREP,17516
adorável,ADJ,15398
adulto,ADJ,12342
advento,VERB,24004
advogado,PREP,23135
adão,PREP,21063
aegir,PREP,22821
aerodeslizador,VERB,22085
aeroporto,VERB,12358
afeganistão,VERB,25008
afiado,ADJ,16943
afogar,PRON,21348
agarrador,VERB,22567
agenda,VERB,15734
agitar,PRON,16934
agora,NOUN,15736
agosto,VERB,12595
agradecer,PRON,17532
agricultor,PREP,14152
agulha,VERB,15703
aipo,VERB,13140
ajoelhar,PRON,15158
ajuda,VERB,14704
ajudar,PRON,14705
alavanca de direcção,VERB,23549
alcançar,PRON,24401
alce,VERB,15652
alemanha,VERB,25414
alergia,VERB,24407
alfabeto,VERB,12366
alface,VERB,15200
alfinete,VERB,16181
algodão em rama,VERB,23048
alguns,ADJ,17207
alguém,PREP,12399
alho,VERB,14423
alho porro bravo,VERB,24476
ali,NOUN,17707
alicates,VERB,16205
alimentar,PRON,14162
alma,VERB,21045
almofada,VERB,16177
almoço,VERB,15405
almôndega,VERB,15445
alpana,VERB,12365
altar,VERB,21368
alto,ADJ,14711
altura,VERB,24909
alugar,VERB,24731
alunagem,PRON,25108
alá,PREP,21035
aléu,VERB,17235
amanhã,VERB,17750
amanhã á noite,VERB,17751
amar,PRON,15400
amarelo,NOUN,18291
amargo,ADJ,12848
amarrotar,PRON,13616
ambiente,VERB,13942
ambos,NOUN,12879
ambulância,VERB,12369
ameixa,VERB,16208
ameixa seca,VERB,16424
amenorreia,VERB,12370
amigo,PREP,14401
amolgadela,VERB,24420
amor,VERB,15399
amor cristão,VERB,21304
amperímetro,VERB,25258
amén,OTHER,21312
américa do norte,VERB,22607
américa do sul,VERB,22608
ananás,VERB,16182
anca,VERB,14713
ancinho,VERB,16461
andar,VERB,12403
andar com um veículo,PRON,16509
andar de avião,PRON,21834
andar de bicicleta,PRON,21832
andar em bicos dos pés,PRON,17733
andarilho,VERB,18032
andebol,VERB,14669
anel,VERB,16675
anfíbios,VERB,12371
animais,VERB,12378
animais de água,VERB,12389
animais domésticos,VERB,12382
animais protegidos,VERB,12385
animal,VERB,17764
animal de estimação,VERB,16168
animal selvagem,VERB,12390
aniversário,VERB,12392
anjo,PREP,12375
ano,VERB,18289
ano luz,VERB,22634
ano seguinte,VERB,15716
ansiedade,VERB,12397
ansioso,ADJ,12398
antena,VERB,24602
antepassada,PREP,21326
antepassado,PREP,21325
anterior,ADJ,16239
antes,NOUN,12352
antipatizar com,PRON,13692
antropologia,VERB,21548
antártica,VERB,22603
anunciar,PRON,21337
anémona do mar,VERB,23653
anúncio,VERB,21338
apagar,PRON,23468
apaixonado,ADJ,24815
apanhar,PRON,13131
aparecer,PRON,21079
aparelhagem,VERB,16471
aparelho de audição,VERB,14693
aparelho intra-uterino,VERB,14963
aparição,VERB,21078
aperfeiçoar,PRON,14931
aperitivo,VERB,22118
apetitoso,ADJ,20526
aplausos,VERB,25013
apontar,PRON,16213
apoplexia,VERB,12593
apostar,PRON,24414
aprender,PRON,15184
aprovar,PRON,12408
aproximação,VERB,12407
apóstolo,PREP,21059
aquecedor de água,VERB,22587
aquecer,PRON,14697
aqueles,NOUN,17723
aqui,NOUN,14708
aquilo,NOUN,17697
aquário,VERB,22647
ar,VERB,12356
arame,VERB,18265
arando,VERB,13433
aranha,VERB,17229
arbusto,VERB,13092
arca frigorífica,VERB,23514
arco,VERB,23818
arco e flecha,VERB,21855
arco íris,VERB,23933
ardente,ADJ,12924
areia,VERB,16715
