lemma,pos,bci_av_id
a_,NOUN,8521
abattoir,VERB,25801
abdomen,VERB,17265
ability,VERB,12322
ability_,VERB,25520
aboard,ADJ,23401
abortion_,VERB,12323
about,NOUN,12324
above,NOUN,15948
abraham,PREP,21066
abrasive_,PRON,29556
abrupt,ADJ,17452
abseiling,VERB,22110
absence,VERB,26306
absorb,PRON,13940
absorbent_material,VERB,12325
abstention,VERB,21308
abstinence,VERB,12326
abstract,VERB,25179
abuse,VERB,12327
ac,VERB,25256
academic,PREP,21559
accept-,PRON,26280
access,VERB,25002
access-,PRON,25001
accessibility,VERB,25002
accessible,ADJ,25003
accessory,VERB,12328
accident,VERB,12329
accordion,VERB,23802
account,VERB,12330
accountant,PREP,24018
accurate,ADJ,13416
accusation,VERB,23001
accusation_,VERB,23002
accuse-,PRON,23003
accuse_,PRON,23004
ache,VERB,12331
achieve-,PRON,24401
achievement,VERB,24402
acid,ADJ,16944
acne,VERB,12332
acquire,PRON,14435
acquiring,VERB,24727
acrobat,PREP,24001
acrobatics,VERB,24002
acrophobia,VERB,26169
across,NOUN,12333
act,VERB,12334
act-,PRON,13860
act_in_favour_of_-,PRON,23006
action,VERB,12334
action_film,VERB,26319
action_movie,VERB,26319
active,ADJ,12336
actively,ADJ,12336
activity,VERB,12335
activity_centre,VERB,23008
activity_centre_,VERB,23009
activity_under_water,VERB,25868
actor,PREP,25650
acupuncturist,PREP,21605
adam,PREP,21063
adar,VERB,12337
add,PRON,12338
addict,PREP,24403
addiction,VERB,24404
adding,VERB,24003
addition,VERB,12339
additive,VERB,24003
address,VERB,23402
address-,ADJ,29501
address_book,VERB,29001
adhesive,VERB,14447
adhesive_tape,VERB,29075
adjective,VERB,27002
admiration,VERB,16494
adolescence,VERB,12340
adolescent,PREP,17516
adopt-,PRON,25004
adoption,VERB,25005
adult,PREP,12341
advance,PRON,12343
advance_fast,PRON,25954
advent,VERB,24004
adventure,VERB,25006
adventure_,VERB,24601
adventurous,ADJ,25007
adverb,VERB,27003
adverse,ADJ,29502
adversity,VERB,25545
advertisement,VERB,12344
advice,VERB,12345
advise,PRON,12346
adviser,PREP,13421
advocacy,VERB,24871
advocate,PREP,23012
advocate-,PRON,23013
advocate_,PREP,23014
advocate_-,PRON,23015
aegir,PREP,22821
aerial,VERB,24602
aeroplane,VERB,12357
affect-,PRON,25736
affected,ADJ,25737
affection,VERB,15399
affix,VERB,27004
afghanistan,VERB,25008
afloat,ADJ,26103
afraid,ADJ,12347
africa,VERB,22602
after,NOUN,12348
after_school_club,VERB,23010
afternoon,VERB,12349
afterwards,ADJ,29002
again,NOUN,12350
against,NOUN,12351
age,VERB,25840
agenda,VERB,24603
agitation,VERB,24822
agnosticism,VERB,24005
ago,NOUN,12352
agree-,PRON,12353
agreed,ADJ,24808
agreement,VERB,12354
agreement_,VERB,24006
aid,VERB,12355
aid_store_room,VERB,24008
aide,PREP,14706
aim,VERB,28001
air,VERB,12356
air_crash_,VERB,13437
air_force,PREP,25250
air_traffic_controller,PREP,25252
air_travel,VERB,29303
airforce,PREP,25250
airing_cupboard,VERB,24088
airline_ticket,VERB,29302
airplane,VERB,12357
airplane_landing,VERB,15171
airplane_take-off,VERB,17499
airport,VERB,12358
airport_terminal,VERB,25251
airy,ADJ,29503
ajar,ADJ,25009
alarm,VERB,25253
albumin,VERB,26302
alcohol,VERB,25010
alcohol_,VERB,29402
alcohol_abuse,VERB,24406
alcohol_addiction,VERB,24405
alcoholic_beverage,VERB,12359
alcoholic_drink,VERB,12359
alcoholism,VERB,24405
alert,ADJ,18046
alertness,VERB,24949
alice_,PREP,25651
alike,OTHER,16984
alive,ADJ,27005
all,NOUN,12360
all-terrain_bike,VERB,21818
all_done,ADJ,24844
all_gone,NOUN,12361
all_knowing,ADJ,21328
all_powerful,ADJ,21329
all_right,ADJ,14463
all_saints'_day,VERB,26120
allah,PREP,21035
allegory,VERB,25876
allergy,VERB,24407
alligator,VERB,12362
allow,PRON,15196
allowable,ADJ,28002
allowance,VERB,24926
allowance_,VERB,25593
allowed,ADJ,28003
almost,ADJ,15697
alone,ADJ,12363
along_with,NOUN,12364
alpana,VERB,12365
alphabet,VERB,12366
alright,ADJ,25129
also,NOUN,12374
altar,VERB,21368
altar_cloth,VERB,21369
alter,PRON,13152
alteration,VERB,13151
alternate,VERB,24759
alternate_,PRON,29003
alternating,ADJ,29580
alternating_current,VERB,25256
alternation,NOUN,12610
